"주차ID","주차시작일","주차종료일","점포코드","점포명","표준상품코드","표준상품명","대분류코드","대분류명","소분류코드","소분류명","순매출액","판매수량","상품이익액","상품이익률","RFMP고객등급","센터입고수량","행사순매출액","재고보유일수합계","재고보유일수측정건수","재고보유일수평균","결품수","폐기수량","센터반품수량","원거래반품건수","원거래반품액","매출원가","집계일시"
"2026-W33","2026-08-10","2026-08-16","2301","강변점","8801000000010","샘표 조림간장 500ml","C0010","장류","C001001","간장","984202","71","335514","0.3409","ACE","91","0","42","7","6","0","0","0","0","0","648688","2026-08-17T18:00:00+09:00"
"2026-W34","2026-08-17","2026-08-23","2301","강변점","8801000000010","샘표 조림간장 500ml","C0010","장류","C001001","간장","1025788","74","338920","0.3304","ACE","104","0","56","7","8","1","1","0","1","11505","686868","2026-08-17T18:00:00+09:00"
"2026-W30","2026-07-20","2026-07-26","2301","강변점","8801000000011","샘표 맛간장 국찌개용 500ml","C0010","장류","C001001","간장","407044","29","121543","0.2986","GOLD","64","0","161","7","23","1","1","0","2","24422","285501","2026-08-17T18:00:00+09:00"
"2026-W31","2026-07-27","2026-08-02","2301","강변점","8801000000011","샘표 맛간장 국찌개용 500ml","C0010","장류","C001001","간장","421080","30","142030","0.3373","GOLD","44","0","182","7","26","2","1","2","1","11790","279050","2026-08-17T18:00:00+09:00"
"2026-W32","2026-08-03","2026-08-09","2301","강변점","8801000000011","샘표 맛간장 국찌개용 500ml","C0010","장류","C001001","간장","393008","28","131972","0.3358","GOLD","37","0","217","7","31","2","2","1","2","24984","261036","2026-08-17T18:00:00+09:00"
"2026-W33","2026-08-10","2026-08-16","2301","강변점","8801000000011","샘표 맛간장 국찌개용 500ml","C0010","장류","C001001","간장","393008","28","133387","0.3394","GOLD","36","0","189","7","27","0","2","0","1","13896","259621","2026-08-17T18:00:00+09:00"
"2026-W34","2026-08-17","2026-08-23","2301","강변점","8801000000011","샘표 맛간장 국찌개용 500ml","C0010","장류","C001001","간장","631620","45","202687","0.3209","GOLD","64","246332","119","7","17","3","1","0","0","0","428933","2026-08-17T18:00:00+09:00"
"2026-W30","2026-07-20","2026-07-26","2301","강변점","8801000000012","샘표 맛간장 조림볶음용 500ml","C0010","장류","C001001","간장","584452","74","120105","0.2055","VIP","93","0","42","7","6","1","2","2","2","14532","464347","2026-08-17T18:00:00+09:00"
"2026-W31","2026-07-27","2026-08-02","2301","강변점","8801000000012","샘표 맛간장 조림볶음용 500ml","C0010","장류","C001001","간장","726616","92","145614","0.2004","VIP","79","0","49","7","7","1","2","2","1","7345","581002","2026-08-17T18:00:00+09:00"
"2026-W32","2026-08-03","2026-08-09","2301","강변점","8801000000012","샘표 맛간장 조림볶음용 500ml","C0010","장류","C001001","간장","789800","100","193896","0.2455","VIP","198","0","49","7","7","1","1","1","1","6318","595904","2026-08-17T18:00:00+09:00"
"2026-W33","2026-08-10","2026-08-16","2301","강변점","8801000000012","샘표 맛간장 조림볶음용 500ml","C0010","장류","C001001","간장","1034638","131","191822","0.1854","VIP","157","527665","21","7","3","3","1","2","1","8135","842816","2026-08-17T18:00:00+09:00"
"2026-W34","2026-08-17","2026-08-23","2301","강변점","8801000000012","샘표 맛간장 조림볶음용 500ml","C0010","장류","C001001","간장","758208","96","151717","0.2001","VIP","140","0","42","7","6","1","1","2","1","6476","606491","2026-08-17T18:00:00+09:00"
"2026-W30","2026-07-20","2026-07-26","2301","강변점","8801000000013","청정원 햇살담은 양조간장 500ml","C0010","장류","C001001","간장","321090","42","67654","0.2107","MVG","68","0","63","7","9","2","2","2","0","0","253436","2026-08-17T18:00:00+09:00"
"2026-W31","2026-07-27","2026-08-02","2301","강변점","8801000000013","청정원 햇살담은 양조간장 500ml","C0010","장류","C001001","간장","466345","61","117146","0.2512","MVG","75","0","35","7","5","0","1","2","2","14678","349199","2026-08-17T18:00:00+09:00"
"2026-W32","2026-08-03","2026-08-09","2301","강변점","8801000000013","청정원 햇살담은 양조간장 500ml","C0010","장류","C001001","간장","672760","88","130650","0.1942","MVG","162","504570","35","7","5","2","2","1","2","13760","542110","2026-08-17T18:00:00+09:00"
"2026-W33","2026-08-10","2026-08-16","2301","강변점","8801000000013","청정원 햇살담은 양조간장 500ml","C0010","장류","C001001","간장","428120","56","84382","0.1971","MVG","46","0","56","7","8","1","0","0","0","0","343738","2026-08-17T18:00:00+09:00"
"2026-W34","2026-08-17","2026-08-23","2301","강변점","8801000000013","청정원 햇살담은 양조간장 500ml","C0010","장류","C001001","간장","519860","68","107039","0.2059","MVG","104","0","28","7","4","0","1","2","2","15442","412821","2026-08-17T18:00:00+09:00"
"2026-W30","2026-07-20","2026-07-26","2301","강변점","8801000000014","청정원 햇살담은 양조간장 840ml","C0010","장류","C001001","간장","388976","92","76162","0.1958","VIP","106","190598","28","7","4","2","1","1","2","7442","312814","2026-08-17T18:00:00+09:00"
"2026-W31","2026-07-27","2026-08-02","2301","강변점","8801000000014","청정원 햇살담은 양조간장 840ml","C0010","장류","C001001","간장","469308","111","94566","0.2015","VIP","174","201802","28","7","4","1","1","1","0","0","374742","2026-08-17T18:00:00+09:00"
"2026-W32","2026-08-03","2026-08-09","2301","강변점","8801000000014","청정원 햇살담은 양조간장 840ml","C0010","장류","C001001","간장","600376","142","150214","0.2502","VIP","167","342214","14","7","2","1","1","1","0","0","450162","2026-08-17T18:00:00+09:00"
"2026-W33","2026-08-10","2026-08-16","2301","강변점","8801000000014","청정원 햇살담은 양조간장 840ml","C0010","장류","C001001","간장","566552","134","110421","0.1949","VIP","112","249283","14","7","2","0","2","1","1","4228","456131","2026-08-17T18:00:00+09:00"
"2026-W34","2026-08-17","2026-08-23","2301","강변점","8801000000014","청정원 햇살담은 양조간장 840ml","C0010","장류","C001001","간장","465080","110","108131","0.2325","VIP","212","269746","14","7","2","1","1","2","2","8202","356949","2026-08-17T18:00:00+09:00"
"2026-W30","2026-07-20","2026-07-26","2301","강변점","8801000000015","청정원 햇살담은 진간장 500ml","C0010","장류","C001001","간장","1126271","113","270080","0.2398","GOLD","152","957330","42","7","6","2","2","2","2","17940","856191","2026-08-17T18:00:00+09:00"
"2026-W31","2026-07-27","2026-08-02","2301","강변점","8801000000015","청정원 햇살담은 진간장 500ml","C0010","장류","C001001","간장","1016634","102","297365","0.2925","GOLD","155","0","35","7","5","2","2","1","0","0","719269","2026-08-17T18:00:00+09:00"
"2026-W32","2026-08-03","2026-08-09","2301","강변점","8801000000015","청정원 햇살담은 진간장 500ml","C0010","장류","C001001","간장","617954","62","147506","0.2387","GOLD","65","0","70","7","10","0","2","0","0","0","470448","2026-08-17T18:00:00+09:00"
"2026-W33","2026-08-10","2026-08-16","2301","강변점","8801000000015","청정원 햇살담은 진간장 500ml","C0010","장류","C001001","간장","1126271","113","341823","0.3035","GOLD","137","0","42","7","6","2","2","1","2","18340","784448","2026-08-17T18:00:00+09:00"
"2026-W34","2026-08-17","2026-08-23","2301","강변점","8801000000015","청정원 햇살담은 진간장 500ml","C0010","장류","C001001","간장","986733","99","244414","0.2477","GOLD","172","0","42","7","6","1","0","2","1","7974","742319","2026-08-17T18:00:00+09:00"
"2026-W30","2026-07-20","2026-07-26","2301","강변점","8801000000016","청정원 햇살담은 진간장 1.7L","C0010","장류","C001001","간장","374376","57","90674","0.2422","ACE","122","0","63","7","9","0","0","1","2","12480","283702","2026-08-17T18:00:00+09:00"
"2026-W31","2026-07-27","2026-08-02","2301","강변점","8801000000016","청정원 햇살담은 진간장 1.7L","C0010","장류","C001001","간장","315264","48","85121","0.27","ACE","116","0","98","7","14","1","0","1","2","13662","230143","2026-08-17T18:00:00+09:00"
"2026-W32","2026-08-03","2026-08-09","2301","강변점","8801000000016","청정원 햇살담은 진간장 1.7L","C0010","장류","C001001","간장","361240","55","105121","0.291","ACE","101","0","84","7","12","1","0","1","1","5977","256119","2026-08-17T18:00:00+09:00"
"2026-W33","2026-08-10","2026-08-16","2301","강변점","8801000000016","청정원 햇살담은 진간장 1.7L","C0010","장류","C001001","간장","348104","53","98513","0.283","ACE","53","0","70","7","10","2","2","1","2","13004","249591","2026-08-17T18:00:00+09:00"
"2026-W34","2026-08-17","2026-08-23","2301","강변점","8801000000016","청정원 햇살담은 진간장 1.7L","C0010","장류","C001001","간장","499168","76","122995","0.2464","ACE","122","474210","49","7","7","0","0","0","0","0","376173","2026-08-17T18:00:00+09:00"
"2026-W30","2026-07-20","2026-07-26","2301","강변점","8801000000017","청정원 햇살담은 국간장 500ml","C0010","장류","C001001","간장","465549","49","128631","0.2763","GOLD","66","0","42","7","6","0","2","1","1","8931","336918","2026-08-17T18:00:00+09:00"
"2026-W31","2026-07-27","2026-08-02","2301","강변점","8801000000017","청정원 햇살담은 국간장 500ml","C0010","장류","C001001","간장","446547","47","95784","0.2145","GOLD","85","0","42","7","6","2","2","1","0","0","350763","2026-08-17T18:00:00+09:00"
"2026-W32","2026-08-03","2026-08-09","2301","강변점","8801000000017","청정원 햇살담은 국간장 500ml","C0010","장류","C001001","간장","437046","46","120843","0.2765","GOLD","74","0","56","7","8","2","1","0","1","9026","316203","2026-08-17T18:00:00+09:00"
"2026-W33","2026-08-10","2026-08-16","2301","강변점","8801000000017","청정원 햇살담은 국간장 500ml","C0010","장류","C001001","간장","427545","45","102226","0.2391","GOLD","77","384790","35","7","5","2","0","2","1","7886","325319","2026-08-17T18:00:00+09:00"
"2026-W34","2026-08-17","2026-08-23","2301","강변점","8801000000017","청정원 햇살담은 국간장 500ml","C0010","장류","C001001","간장","484551","51","132815","0.2741","GOLD","43","0","35","7","5","2","0","0","1","8266","351736","2026-08-17T18:00:00+09:00"
"2026-W30","2026-07-20","2026-07-26","2301","강변점","8801000000018","청정원 두번달여 더진한 진간장 840ml","C0010","장류","C001001","간장","705537","63","195293","0.2768","VIP","104","0","84","7","12","1","2","2","1","10415","510244","2026-08-17T18:00:00+09:00"
"2026-W31","2026-07-27","2026-08-02","2301","강변점","8801000000018","청정원 두번달여 더진한 진간장 840ml","C0010","장류","C001001","간장","537552","48","151912","0.2826","VIP","50","0","84","7","12","2","0","1","1","9295","385640","2026-08-17T18:00:00+09:00"
"2026-W32","2026-08-03","2026-08-09","2301","강변점","8801000000018","청정원 두번달여 더진한 진간장 840ml","C0010","장류","C001001","간장","974313","87","296483","0.3043","VIP","109","565102","63","7","9","3","2","0","2","19710","677830","2026-08-17T18:00:00+09:00"
"2026-W33","2026-08-10","2026-08-16","2301","강변점","8801000000018","청정원 두번달여 더진한 진간장 840ml","C0010","장류","C001001","간장","649542","58","180248","0.2775","VIP","83","0","84","7","12","1","2","0","2","23518","469294","2026-08-17T18:00:00+09:00"
"2026-W34","2026-08-17","2026-08-23","2301","강변점","8801000000018","청정원 두번달여 더진한 진간장 840ml","C0010","장류","C001001","간장","985512","88","302552","0.307","VIP","167","0","56","7","8","0","1","2","0","0","682960","2026-08-17T18:00:00+09:00"
"2026-W30","2026-07-20","2026-07-26","2301","강변점","8801000000019","청정원 맛선생 맛간장 500ml","C0010","장류","C001001","간장","300283","47","96721","0.3221","ACE","92","0","63","7","9","1","2","0","0","0","203562","2026-08-17T18:00:00+09:00"
"2026-W31","2026-07-27","2026-08-02","2301","강변점","8801000000019","청정원 맛선생 맛간장 500ml","C0010","장류","C001001","간장","293894","46","87081","0.2963","ACE","92","249810","84","7","12","2","1","2","2","12906","206813","2026-08-17T18:00:00+09:00"
"2026-W32","2026-08-03","2026-08-09","2301","강변점","8801000000019","청정원 맛선생 맛간장 500ml","C0010","장류","C001001","간장","293894","46","96926","0.3298","ACE","65","0","70","7","10","3","2","2","2","12140","196968","2026-08-17T18:00:00+09:00"
"2026-W33","2026-08-10","2026-08-16","2301","강변점","8801000000019","청정원 맛선생 맛간장 500ml","C0010","장류","C001001","간장","268338","42","78650","0.2931","ACE","81","0","91","7","13","0","1","1","2","11116","189688","2026-08-17T18:00:00+09:00"
"2026-W34","2026-08-17","2026-08-23","2301","강변점","8801000000019","청정원 맛선생 맛간장 500ml","C0010","장류","C001001","간장","364173","57","127206","0.3493","ACE","74","0","49","7","7","2","1","2","0","0","236967","2026-08-17T18:00:00+09:00"
"2026-W30","2026-07-20","2026-07-26","2301","강변점","8801000000020","청정원 저염 양조간장 500ml","C0010","장류","C001001","간장","894880","94","181661","0.203","GOLD","154","429542","42","7","6","1","1","0","2","19992","713219","2026-08-17T18:00:00+09:00"
"2026-W31","2026-07-27","2026-08-02","2301","강변점","8801000000020","청정원 저염 양조간장 500ml","C0010","장류","C001001","간장","590240","62","126843","0.2149","GOLD","91","0","63","7","9","2","1","2","1","8092","463397","2026-08-17T18:00:00+09:00"
"2026-W32","2026-08-03","2026-08-09","2301","강변점","8801000000020","청정원 저염 양조간장 500ml","C0010","장류","C001001","간장","894880","94","176112","0.1968","GOLD","186","0","42","7","6","0","0","1","1","9996","718768","2026-08-17T18:00:00+09:00"
"2026-W33","2026-08-10","2026-08-16","2301","강변점","8801000000020","청정원 저염 양조간장 500ml","C0010","장류","C001001","간장","637840","67","110410","0.1731","GOLD","74","0","70","7","10","2","1","1","2","15612","527430","2026-08-17T18:00:00+09:00"
"2026-W34","2026-08-17","2026-08-23","2301","강변점","8801000000020","청정원 저염 양조간장 500ml","C0010","장류","C001001","간장","904400","95","192185","0.2125","GOLD","83","0","28","7","4","1","0","2","0","0","712215","2026-08-17T18:00:00+09:00"
"2026-W30","2026-07-20","2026-07-26","2301","강변점","8801000000021","오뚜기 양조간장 501 500ml","C0010","장류","C001001","간장","394680","60","118601","0.3005","VIP","58","0","77","7","11","0","0","2","2","12104","276079","2026-08-17T18:00:00+09:00"
"2026-W31","2026-07-27","2026-08-02","2301","강변점","8801000000021","오뚜기 양조간장 501 500ml","C0010","장류","C001001","간장","513084","78","176911","0.3448","VIP","133","0","63","7","9","3","1","0","1","6183","336173","2026-08-17T18:00:00+09:00"
"2026-W32","2026-08-03","2026-08-09","2301","강변점","8801000000021","오뚜기 양조간장 501 500ml","C0010","장류","C001001","간장","420992","64","133623","0.3174","VIP","99","0","84","7","12","1","2","1","2","13288","287369","2026-08-17T18:00:00+09:00"
"2026-W33","2026-08-10","2026-08-16","2301","강변점","8801000000021","오뚜기 양조간장 501 500ml","C0010","장류","C001001","간장","559130","85","184792","0.3305","VIP","106","0","56","7","8","1","1","2","1","5723","374338","2026-08-17T18:00:00+09:00"
"2026-W34","2026-08-17","2026-08-23","2301","강변점","8801000000021","오뚜기 양조간장 501 500ml","C0010","장류","C001001","간장","486772","74","175530","0.3606","VIP","48","267725","70","7","10","2","1","0","0","0","311242","2026-08-17T18:00:00+09:00"
"2026-W30","2026-07-20","2026-07-26","2301","강변점","8801000000022","오뚜기 양조간장 501 900ml","C0010","장류","C001001","간장","374994","83","102336","0.2729","MVG","119","149998","49","7","7","2","2","1","1","4608","272658","2026-08-17T18:00:00+09:00"
"2026-W31","2026-07-27","2026-08-02","2301","강변점","8801000000022","오뚜기 양조간장 501 900ml","C0010","장류","C001001","간장","424692","94","115729","0.2725","MVG","106","322766","56","7","8","1","1","1","2","7770","308963","2026-08-17T18:00:00+09:00"
"2026-W32","2026-08-03","2026-08-09","2301","강변점","8801000000022","오뚜기 양조간장 501 900ml","C0010","장류","C001001","간장","501498","111","130640","0.2605","MVG","88","351049","42","7","6","2","1","0","2","8132","370858","2026-08-17T18:00:00+09:00"
